yr, sa3_code_2016, equivalised_total_household_income_census_median_weekly, estimates_personal_income_year_ended_30_june_mean_employee, estimates_personal_income_year_ended_30_june_mean_investment, estimates_personal_income_year_ended_30_june_median_employee, estimates_personal_income_year_ended_30_june_median_investment, estimates_personal_income_year_ended_30_june_total_employee_m, estimates_personal_income_year_ended_30_june_total_investment_m, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, sa3_name_2016, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_dva_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_incme_spprt_spplmnt_dva_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_srvce_pnsn_dva_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, feature_code, feature_name
2019,"20903",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Nillumbik - Kinglake",4442,7,1053,1199,282,952,1603,2173,46,772,33,202,121,54,376,null,null,null,null,null,null,null,null,"20903","Nillumbik - Kinglake"
2019,"20904",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Whittlesea - Wallan",20174,9,10492,8797,3904,6744,13717,17337,106,5992,1024,2163,366,553,2281,null,null,null,null,null,null,null,null,"20904","Whittlesea - Wallan"
2019,"21001",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Keilor",8203,null,1702,2172,680,1132,1660,2184,64,1004,56,249,150,76,422,null,null,null,null,null,null,null,null,"21001","Keilor"
2019,"21002",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Macedon Ranges",2712,8,684,677,192,477,906,1232,32,357,23,152,84,35,137,null,null,null,null,null,null,null,null,"21002","Macedon Ranges"
2019,"21003",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Moreland - North",8650,null,3836,2874,1279,2440,3862,4800,135,2006,384,480,122,174,825,null,null,null,null,null,null,null,null,"21003","Moreland - North"
2019,"21004",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Sunbury",3870,null,1765,1361,470,1064,1967,2494,51,906,70,410,119,101,260,null,null,null,null,null,null,null,null,"21004","Sunbury"
2019,"21005",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Tullamarine - Broadmeadows",13464,5,10694,9704,6570,6831,14245,17668,67,7931,2001,1920,210,716,2530,null,null,null,null,null,null,null,null,"21005","Tullamarine - Broadmeadows"
2019,"21101",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Knox",16668,14,5359,3666,1168,3934,6206,8118,185,2954,236,959,446,259,1264,null,null,null,null,null,null,null,null,"21101","Knox"
2019,"21102",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Manningham - East",2044,null,419,424,103,321,491,689,27,197,17,36,50,10,141,null,null,null,null,null,null,null,null,"21102","Manningham - East"
2019,"21103",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Maroondah",11388,17,4707,2323,686,3187,4366,5525,198,2314,305,672,336,207,787,null,null,null,null,null,null,null,null,"21103","Maroondah"
2019,"21104",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Whitehorse - East",6527,null,1752,1177,321,1291,1817,2477,80,840,81,167,180,47,513,null,null,null,null,null,null,null,null,"21104","Whitehorse - East"
2019,"21105",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Yarra Ranges",15917,4,5181,3573,1060,4263,6417,8380,156,3091,253,1083,440,301,831,null,null,null,null,null,null,null,null,"21105","Yarra Ranges"
2019,"21201",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Cardinia",8523,6,4959,2642,956,2342,6421,8109,92,2333,332,1368,243,290,648,null,null,null,null,null,null,null,null,"21201","Cardinia"
2019,"21202",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Casey - North",11932,6,5847,3992,1787,3818,7237,9366,101,3332,536,1149,250,332,1382,null,null,null,null,null,null,null,null,"21202","Casey - North"
2019,"21203",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Casey - South",11752,null,8883,5076,2356,4581,13816,17832,103,4656,1083,2072,318,574,1883,null,null,null,null,null,null,null,null,"21203","Casey - South"
2019,"21204",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Dandenong",21842,7,11802,6152,3213,7253,11008,13947,148,6427,1002,1482,950,458,2572,null,null,null,null,null,null,null,null,"21204","Dandenong"
2019,"21205",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Monash",17295,7,5508,3486,1106,3058,4625,6284,247,2198,158,434,401,165,2621,null,null,null,null,null,null,null,null,"21205","Monash"
2019,"21301",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Brimbank",19938,null,10700,8065,3899,6105,12289,15106,77,8348,1059,2159,973,515,2660,null,null,null,null,null,null,null,null,"21301","Brimbank"
2019,"21302",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Hobsons Bay",8692,9,3111,2441,946,2149,2962,3637,89,1950,184,472,217,166,661,null,null,null,null,null,null,null,null,"21302","Hobsons Bay"
2019,"21303",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Maribyrnong",5782,null,4056,1857,820,2304,2756,3371,44,2829,199,430,508,150,1238,null,null,null,null,null,null,null,null,"21303","Maribyrnong"
2019,"21304",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Melton - Bacchus Marsh",11719,13,8369,6048,2655,4579,11218,14022,103,4875,762,2227,343,578,1402,null,null,null,null,null,null,null,null,"21304","Melton - Bacchus Marsh"
2019,"21305",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Wyndham",12449,20,12539,6105,2583,4499,17439,21625,122,6179,1339,2509,365,645,2056,null,null,null,null,null,null,null,null,"21305","Wyndham"
2019,"21401",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Frankston",14623,15,8859,3815,1536,5239,7493,9148,252,4171,306,1648,582,433,983,null,null,null,null,null,null,null,null,"21401","Frankston"
2019,"21402",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Mornington Peninsula",24243,34,7887,4008,1385,4691,6413,8113,457,3483,182,1360,878,252,632,null,null,null,null,null,null,null,null,"21402","Mornington Peninsula"
